mnId,mnMonth,mnDay,mnSid,mnName,mnAlpha,mnFname,mnGender,mnDate,mnLoc,mnDisp,mnFlevel,mnFast,mnCollect,mnIndiv,mnIcon,mnFlag,mnSermonURL,mnSort
934,3,14,100803,"St. Euschemon the Confessor, Bishop of Lampsacus",EUSCHEMON,"Saint Euschemon the Confessor, Bishop of Lampsacus",m,9th century,Lampsacus,"",0,0,1,1,"",0,,1000
935,3,14,100804,"The &ldquo;FEODOROVSKAYA&rdquo; Icon of the Mother of God",ICON,Icon of the Mother of God of Saint Theodore,"",1613,"",*,0,0,1,1,march/0314icon-fyodorov.jpg,0,,1000
937,3,15,100805,"Martyrs Agapius, Publius (Pausis), Timolaus, Romulus, two named Dionysius, and two named Alexander, at C&aelig;sarea in Palestine",AGAPIUS,"Martyrs Agapius, Publius, Timolaus, Romulus, two named Dionysius, and two named Alexander, at Caesarea in Palestine","",303,"Caesarea, Palestine","",0,0,1,1,march/0315agapius02.jpg,0,,1000
943,3,15,100811,"Hieromartyr Alexander of Sίdē, in Pamphylia",ALEXANDER,"Hieromartyr Alexander of Sίdē, in Pamphylia",m,270-275,"Pamphylia, Sίdē","",0,0,1,1,"",0,,1000
944,3,15,100812,Martyr Nicander of Egypt,NICANDER,Martyr Nicander of Egypt,"",ca. 302,Egypt,"",0,0,1,1,"",0,,1000
945,3,16,100813,Martyr Sabinas of Egypt,SABINUS,Martyr Sabinus of Egypt,"",287,Egypt,"",0,0,1,1,march/0316sabinasegypt.jpg,0,,1000
946,3,16,100814,Martyr Papas of Lyconia,PAPAS,Martyr Papas of Lyconia,"",305-311,Lyconia,"",0,0,1,1,"",0,,1000
947,3,16,100815,"St. Serapion, Archbishop of Novgorod",SERAPION,"Saint Serapion, Archbishop of Novgorod","",1516,Novgorod,"",0,0,1,1,march/0316serapionnovgorod.jpg,0,,1000
948,3,16,100816,"Apostle Aristobulus of the Seventy, Bishop of Britain",ARISTOBULUS,"Apostle Aristobulus of the Seventy, Bishop of Britain",m,1st century,Britain,"",0,0,1,1,march/0316aristobulus.jpg,0,,1000
949,3,16,100817,"Hieromartyr Alexander, Pope of Rome",ALEXANDER,"Hieromartyr Alexander, Pope of Rome",m,119,Rome,"",0,0,1,1,"",0,,1000
950,3,16,100818,Martyr Julian of Anazarbus,JULIAN,Martyr Julian of Anazarbus,"",305-311,Anazarbus,3rd c.,0,0,1,1,"",0,,1000
951,3,16,100819,Hieromartyrs Trophimus and Thalus of Laodicea,TROPHIMUS,Hieromartyrs Trophimus and Thalus of Laodicea,"",ca. 300,Laodicea,"",0,0,1,1,"",0,,1000
953,3,16,103830,"Saints Pimen of Salosi and Anton Meskhi, Enlighteners of Dagestan and the North Caucasus people",PIMEN,"Saints Pimen of Salosi and Anton Meskhi, Enlighteners of Dagestan and the North Caucasus people","",13th century,"Georgia, Salosi","",0,0,0,1,march/0316pimen-salosi.jpg,0,,1000
954,3,16,205333,St Christodoulos,CHRISTODOULOS,"Saint Christódoulos, Wonderworker of Patmos",,,"Patmos, Greece",,0,0,0,1,march/0316christodoulos-patmos.jpg,0,,1000
4420,3,9,100291,"Venerable Vitalius of Castronovo
",VITALIUS,"Venerable Vitalius of Castronovo
",m,10th century,Castronovo,"",0,0,1,1,"",0,,999
956,3,16,205336,St. Ambrose the Confessor,AMBROSE,Saint Ambrose the Confessor,"",1927,Georgia,"",0,0,0,1,march/0329ambrose-confessor.jpg,0,,1000
4386,6,7,100126,Venerable Daniel of Sketis,DANIEL,Venerable Daniel of Sketis,m,6th century,"Sketis, Egypt",,0,0,1,1,,0,,999
958,3,16,205472,St Demetrius,DEMETRIUS,"Saint Demetrius the Devoted, King of Georgia","",1289,Georgia,"",0,0,0,1,march/0312demetre tavdadebuli.jpg,0,,1000
959,3,17,100822,Ven. Aleksy (Alexius) the Man of God,ALEXIS,Venerable Alexis the Man of God,m,411,Rome,"",0,0,1,1,march/0317alexismanofgod.jpg,0,,1000
960,3,17,100824,"Ven. Macarius the Wonderworker, Abbot of Kaly&aacute;zinsk",MACARIUS,"Venerable Macarius the Wonderworker, Abbot of Kalyazin",m,1483,Kalyazin,"Tver&rsquo;&mdash;1483",0,0,1,1,march/0317macariuskalyazin.jpg,0,,1000
961,3,17,100823,Martyr Marinus,MARINUS,Martyr Marinus,"","","","",0,0,1,1,march/0317.marinus.jpg,0,,1000
962,3,17,100821,"St. Patrick, Bishop of Armagh, Enlightener of Ireland",PATRICK,"Saint Patrick, Bishop of Armagh, Enlightener of Ireland","",ca. 461,"Ireland, Armagh","",0,0,1,1,march/0317patrick-ireland.jpg,0,,1000
963,3,17,205441,Hieromartyr Gabriel,GABRIEL,Hieromartyr Gabriel the Lesser,"",1802,Georgia,"",0,0,0,1,march/0317gabriel -thelesser.jpg,0,,1000
964,3,18,100825,Repose of St. Nikolai of Zhicha,NICHOLAS,Repose of Saint Nikolai of Zhicha,"",1956,"Zhicha, Serbia, America, South Canaan, PA","",1,0,1,1,march/0305nicholai.zicha02.jpg,0,,1000
965,3,18,100829,"St. Cyril, Archbishop of Jerusalem",CYRIL,"Saint Cyril, Archbishop of Jerusalem",m,386,Jerusalem,"",0,0,1,1,march/0318cyril.jpg,0,,1000
966,3,18,100826,Martyrs Trophimus and Eucarpus of Nicomedia,TROPHIMUS,Martyrs Trophimus and Eucarpus of Nicomedia,"",ca. 300,Nicomedia,"",0,0,1,1,march/0318.trophimus_nicomedia.jpg,0,,1000
968,3,18,100828,Ven. Aninas of the Euphrates,ANINAS,Venerable Aninas of the Euphrates,m,"",Euphrates,"",0,0,1,1,march/0318.aninas-of-euphrates.jpg,0,,1000
969,3,18,205335,St Cyril,CYRIL,Saint Cyril of Astrakhan,"",1576,Astrakhan,"",0,0,0,1,march/0318.cyril-of-astrakhan.jpg,0,,1000
970,3,19,100830,"Martyrs Chrysanthus and Daria, and those with them at Rome: Claudius, Hilaria, Jason, Maurus, Diodorus the Presbyter, and Marianus the Deacon",CHRYSANTHUS,"Martyrs Chrysanthus and Daria, and those with them at Rome","",283,Rome,"",0,0,1,1,march/0319chrysanth.jpg,0,,1000
978,3,19,100838,Saint Innocent of Komél and Vologda disciple of Saint Nilus of Sora,INNOCENT,Saint Innocent of Komél and Vologda disciple of Saint Nilus of Sora,m,1521,"Vologda, Komel, Sora","Vologd&aacute;&mdash;1521",0,0,1,1,march/0319.innocent_komel.jpg,0,,1000
979,3,19,100839,"Martyr Pancharius, at Nicomedia",PANCHARIUS,Martyr Pancharius at Nicomedia,"",ca. 302,Nicomedia,"",0,0,1,1,"",0,,1000
980,3,19,100181,"&ldquo;Sweet-Kissing&rdquo; Icon of the Mother of God of Smolensk",ICON,"&ldquo;Sweet-Kissing&rdquo; Icon of the Mother of God of Smolensk",f,1103,Smolensk,"",0,0,1,1,march/0319smolenskicon.jpg,0,,999
981,3,19,108895,Icon of the Mother of God of Lubyatov,ICON,Icon of the Mother of God of Lubyatov,"",1570,Lubyatov,"",0,0,0,1,march/0319icon-tenderness-lubyatovskaya01.jpg,0,,1000
982,3,20,100841,"The Holy Fathers who were slain at the Monastery of St. Savva: Ven. John, Sergius, Patrick, and others",FATHERS,Martyred Holy Fathers who were slain at the Monastery of Saint Savva,"",796,Monastery of St Sabbas,"",0,0,1,1,march/0320.sabbasfrs.jpg,0,,1000
986,3,20,100845,"Monastic Martyr Euphrosynus of Sinoz&eacute;rsk",EUPHROSYNUS,"Monastic Martyr Euphrosynus of Blue Jay Lake, Novgorod","",1612,"Novgorod, Blue Jay Lake","Novgorod&mdash;1612",0,0,1,1,march/0320ephrosinisinezersk.jpg,0,,1000
987,3,20,100846,"Martyr Photini (Svetlana, Fat&iacute;ma), the Samaritan woman, and her sons: Martyrs Victor and Joses, and two others",PHOTINA,"Martyr Photini the Samaritan Woman, her sons, and those with them",f,ca. 66,,,0,0,1,1,march/0320photinia.photis.et-al.jpg,0,,1000
990,3,20,100849,"Virgin Martyrs Alexandria, Claudia, Euphrasia, Matrona, Juliana, Euphemia, and Theodora",ALEXANDRA,"Virgin Martyrs Alexandria, Claudia, Euphrasia, Matrona, Juliana, Euphemia, and Theodora",f,310,Amisus,,0,0,1,1,,0,,1000
997,3,20,100856,"St. Nikḗtas the Confessor, Archbishop of Apollonias in Bithynia",NIKETAS,"Saint Nikḗtas the Confessor, Archbishop of Apollonias in Bithynia",9th c.,ca. 813-820,"Bithynia, Apollonias","",0,0,1,1,"",0,,1000
999,3,20,109071,St Cuthbert,CUTHBERT,"Saint Cuthbert, Wonderworker of Britain",m,687,"Lindisfarne, England","",0,0,0,1,march/0320cuthbert.jpg,0,,1000
1000,3,20,205344,New Martyr Myron,MYRON,New Martyr Myron of Crete,"",1793,Crete,"",0,0,0,1,march/0320mironos.jpg,0,,1000
1002,3,21,100858,"St. James (Jacob, Iago) the Confessor, Bishop of Catania",JAMES,"Saint James the Confessor, Bishop of Catania","",8th-9th century,Catania,"",0,0,1,1,march/0321.saints-of-mar21.jpg,0,,1000
1003,3,21,100859,"St. Cyril, Bishop of Catania",CYRIL,"Saint Cyril, Bishop of Catania",m,1st-2nd century,Catania,"",0,0,1,1,march/0321cyrilcatania.jpg,0,,1000
1004,3,21,100860,"St. Thomas, Patriarch of Constantinople",THOMAS,"Saint Thomas, Patriarch of Constantinople",m,610,Constantinople,1610,0,0,1,1,march/0321.saints-of-mar21.jpg,0,,1000
1005,3,21,103710,Venerable Seraphim,SERAPHIM,Venerable Seraphim of Vyritsa,m,1949,"Russia, Vyritsa","",0,0,0,1,march/0321seraphim-vurits0020.jpg,0,,1000
1006,3,21,205346,St Serapion,SERAPION,"Saint Serapion, Bishop of Thmuis in Lower Egypt","","","Thmuis, Egypt","",0,0,0,1,march/0321serapion.jpg,0,,1000
1007,3,22,100861,Hieromartyr Basil of Ancyra,BASIL,Hieromartyr Basil of Ancyra,m,362-363,Ancyra,"",0,0,1,1,march/0322.saints-of-mar22.jpg,0,,1000
1008,3,22,100862,"Martyr Drosίs, daughter of Emperor Trajan",DROSIS,"Martyr Drosίs, daughter of Emperor Trajan",f,104-117,,1st-2nd c.,0,0,1,1,march/0322.saints-of-mar22.jpg,0,,1000
1009,3,22,100863,"Ven. Isaac, the Confessor Founder of the Dalmatian Monastery at Constantinople",ISAAC,"Venerable Isaac the Confessor, Founder of the Dalmatian Monastery at Constantinople",m,4th century,Constantinople,"",0,0,1,1,march/0322isaacdalmatia.jpg,0,,1000
1010,3,22,100864,Monastic Martyr Euthymius of Prodromou,EUTHYMIUS,"Monastic Martyr Euthymius of Prodromou, Mount Athos","",1814,"Prodromou, Mt Athos","Mt. Athos&mdash;1814",0,0,1,1,"",0,,1000
1011,3,22,205347,Martyrs Kalliniki and Basilissa,CALLINICA,Martyrs Kalliniki and Basilissa,"","",Rome,"",0,0,0,1,march/0322kallinika.jpg,0,,1000
1013,3,23,100865,Martyr Nikon and 199 disciples with him in Sicily,NIKON,Martyr Nikon and 199 disciples with him in Sicily,"",251,Sicily,"",0,0,1,1,march/0323.nikon&disciples.jpg,0,,1000
1015,3,23,100867,"Ven. Nikon, Abbot of the Kiev Caves",NIKON,"Venerable Nikon, Abbot of the Kiev Far Caves",m,1088,"Kiev Caves, Far Caves","",0,0,1,1,march/0323nikonkiev.jpg,0,,1000
1016,3,23,100868,"Martyrs Philetas the Senator, his wife, Lydia, their sons Macedon and Theoprepius, Chronides the Notary, and Amphilochius the Captain, in Illyria",PHILETUS,"Martyr Philetus the Senator, his wife and sons, and those with them in Illyria","",117-138,Illyria,"",0,0,1,1,march/0323.philetas.jpg,0,,1000
1022,3,23,100874,Righteous Basil of Mangazea in Siberia,BASIL,Righteous Basil of Mangazea in Siberia,"",1600,"Mangazea, Siberia","",0,0,1,1,"",0,,1000
1023,3,23,100875,"Monastic Martyr Luke of St. Anne&rsquo;s Skete",LUKE,"Monastic Martyr Luke of Saint Anne&rsquo;s Skete on Mount Athos and Odrin","",1802,"St Anne&rsquo;s Skete, Odrin, Bulgaria, Mt Athos","Mt. Athos&mdash;1802",0,0,1,1,"",0,,1000
1024,3,23,103912,Venerable Sergius,SERGIUS,"Venerable Sergius (Srebryansky), the New Confessor of Tver",m,1948,"Tver, Russia","",0,0,0,1,march/0323sergiussrebryanskii.jpg,0,,1000
1025,3,24,100876,Forefeast of the Annunciation,ANNUNCIATION,Forefeast of the Annunciation,"","","","",1,0,1,1,greatfeasts/0325annunciation.jpg,0,,1000
1026,3,24,100877,Ven. Zachariah the Recluse,ZACHARIAH,Venerable Zachariah the Recluse,m,"","","",0,0,1,1,"",0,,1000
1027,3,24,100878,"St. Artemius (Artemon), Bishop of Seleucia",ARTEMON,"Saint Artemon, Bishop of Seleucia","",1st-2nd century,Seleucia,"",0,0,1,1,march/0324artemius-seleucia.jpg,0,,1000
1028,3,24,100879,"Ven. Zachariah, Ascetic, of the Kiev Caves",ZACHARIAH,Venerable Zachariah the Ascetic of the Kiev Caves,m,13th-14th century,"Kiev Caves, Far Caves","Far Caves&mdash;13th-14th c.",0,0,1,1,march/0324zachariahkievcaves.jpg,0,,1000
1029,3,24,100880,"Martyrs Stephen and Peter of Kazan&rsquo;",STEPHEN,Martyr Stephen of Kazan,"",1552,Kazan,"",0,0,1,1,"",0,,1000
1030,3,24,100881,Martyr Peter,PETER,Martyr Peter of Kazan,"",1552,Kazan,"",0,0,0,1,"",0,,1000
1032,3,24,100883,"Icon of the Mother of God of &ldquo;the Uncut Mount&rdquo; or &ldquo;Clouded Mountain&rdquo;",ICON,"Icon of the Mother of God of &ldquo;the Uncut Mount&rdquo; or &ldquo;Clouded Mountain&rdquo;",,,,,0,0,0,1,march/0324icon-uncutmount10.jpg,0,,1000
1033,3,25,100884,"The Annunciation of our Most Holy Lady, Theotokos and Ever-Virgin Mary",ANNUNCIATION,"The Annunciation of our Most Holy Lady, the Theotokos and Ever-Virgin Mary","","","","",3,0,1,1,greatfeasts/0325annunciation0012.jpg,0,/fs/sermons/sermon-on-the-annunciation,1000
1034,3,26,100885,Leavetaking of the Annunciation,ANNUNCIATION,Leavetaking of the Annunciation,"","","","",1,0,1,1,greatfeasts/0325annunciation22.jpg,0,,1000
1035,3,26,100886,Synaxis of the Archangel Gabriel,GABRIEL,Synaxis of the Archangel Gabriel,"","","","",1,0,1,1,march/0326gabriel0003.jpg,0,,1000
1036,3,26,100887,"Hieromartyr Iren&aelig;us, Bishop of Sirmium",IRENAEUS,"Hieromartyr Irenaeus, Bishop of Sirmium","",304,"Sirmium, Hungary","",0,0,1,1,"",0,,1000
1037,3,26,100888,"Martyrs Bathusius and Bercus&mdash;Presbyters, Arpilus&mdash;Monk, Abibus, Agnus, Reasus, Igathrax, Iscoeus (Iskous), Silas, Signicus, Sonirilus, Suimbalus, Thermus, Phillus (Philgas)&mdash;laymen, and the women: Anna, Alla, Larissa, Monco (Manca), Uirko (Virko), Animais (Animaida), Gaatha and Duklida, in the Crimea",BATHUSIUS,26 Martyrs in the Crimea,"",375,Crimea,"",0,0,1,1,"",0,,1000
1058,3,26,100909,"St. Malchus of Chalcis, Syria",MALCHUS,"Saint Malchus of Chalcis, Syria","",4th century,"Syria, Chalcis","",0,0,1,1,"",0,,1000
1059,3,26,100910,"Ven. Basil the New, Anchorite, near Constantinople",BASIL,"Venerable Basil the New, Anchorite, Near Constantinople",m,ca. 944,Constantinople,10th c.,0,0,1,1,"",0,,1000
1060,3,26,100911,"Martyr Montanus, Presbyter, of Singidunum, and his wife, Maxima",MONTANUS,"Martyr Montanus the Presbyter of Singidunum, and his wife Maxima","",235,Singidunum,"",0,0,1,1,"",0,,1000
1062,3,26,108008,New Martyr George of Sofia,GEORGE,New Martyr George of Sofia,"",1437,"Bulgaria, Sofia","",0,0,0,1,"",0,,1000
1063,3,27,100913,Martyr Matrona of Thessalonica,MATRONA,Martyr Matrona of Thessalonica,"",3rd-4th century,"Thessalonica, Greece","",0,0,1,1,march/0327matrona-lydia.jpg,0,,1000
1064,3,27,100914,Martyrs Manuel and Theodosius,MANUEL,Martyrs Manuel and Theodosius,"",304,"","",0,0,1,1,"",0,,1000
1066,3,27,100916,"Ven. John the Clairvoyant, Anchorite, of Egypt",JOHN,"Venerable John the Clairvoyant, Anchorite, of Egypt",m,394-395,Egypt,"",0,0,1,1,"",0,,1000
1067,3,27,100917,"The &ldquo;GLYKOPHYLOUSA&rdquo; and the &ldquo;AKATHIST&rdquo; Icons of the Mother of God on Mt. Athos",ICON,"Icon of the Mother of God of Mount Athos, &ldquo;Sweet Kissing&rdquo;","","",Mt. Athos,"",0,0,1,1,march/0327sweetkissing.jpg,0,,1000
1068,3,27,100918,"Icon of the Mother of God &ldquo;of the Akathist&rdquo;",ICON,"Icon of the Mother of God &ldquo;of the Akathist&rdquo;","","",Mt. Athos,"",0,0,0,1,march/0327icon-akathist11.jpg,0,,1000
1069,3,28,100919,"Ven. Hilarion the New, Abbot of Pelekete",HILARION,"Venerable Hilarion the New, Abbot of Pelekete",m,ca. 754,Pelekete,"",0,0,1,1,march/0328hilarion-pelecete.jpg,0,,1000
1070,3,28,100920,"Ven. Stephen the Wonderworker, Abbot of Triglia",STEPHEN,"Venerable Stephen, Wonderworker, Abbot of Triglia",m,ca. 815,Triglia,9th c.,0,0,1,1,march/0328stephenwonderworker.jpg,0,,1000
1071,3,28,100921,Monastic Martyr Eustratius of the Kiev Caves,EUSTRATIUS,Monastic Martyr Eustratius of the Kiev Near Caves,"",1097,"Kiev Caves, Far Caves","Near Caves&mdash;1097",0,0,1,1,march/0328eustratius-kievcaves0020.jpg,0,,1000
1072,3,28,100922,Ven. Hilarion of Pskov Lake,HILARION,"Venerable Hilarion of Pskov, Lake Gdov",m,1476,"Gdov, Pskov, Lake Gdov","Gdov&mdash;1476",0,0,1,1,"",0,,1000
1074,3,28,100924,"Martyred brothers Barachisius and Jonah, and those with them, in Persia",BARACHISIUS,"Martyred brothers Barachisius and Jonah, and those with them, in Persia","",ca. 330,Persia,4th c.,0,0,1,1,"",0,,1000
1084,3,28,100934,"Martyr Boyan, Prince of Bulgaria",BOYAN,"Martyr Boyan, Prince of Bulgaria","",833,Bulgaria,ca. 830,0,0,1,1,"",0,,1000
4496,3,28,100935,St Hesychios the Presbyter of Jerusalem,HESYCHIOS,Saint Hesychios the Presbyter of Jerusalem,m,4th century,Jerusalem,,0,0,0,1,,0,,999
1086,3,28,103831,Venerable John,JOHN,"Venerable John, Bishop of Manglisi",m,1751,"Georgia, Manglisi","",0,0,0,1,march/0328john-mangleli.jpg,0,,1000
1087,3,29,100936,"Hieromartyr Mark, Bishop of Arethusa, Martyr Cyril the Deacon, of Heliopolis, and others who suffered under Julian the Apostate",MARK,"Hieromartyr Mark, Bishop of Arethusa, who suffered under Julian the Apostate","",ca. 364,Arethusa,"",0,0,1,1,march/0329mark-arethusa.jpg,0,,1000
1088,3,29,100937,Martyr Cyril,CYRIL,"Martyr Cyril the Deacon of Heliopolis, and those with him, who suffered under Julian the Apostate","",ca. 364,Heliopolis,"",0,0,0,1,march/0329cyril-dn-heliopolis.jpg,0,,1000
1090,3,29,100939,"Ven. John, Anchorite, of Egypt",JOHN,Venerable John the Anchorite of Egypt,m,4th century,Egypt,"",0,0,1,1,march/0329johnwilderness.jpg,0,,1000
1091,3,29,100940,"St. Eustathius the Confessor, Bishop of Bithynia",EUSTATHIUS,"Saint Eustathius (Eustace) the Confessor, Bishop of Bithynia",m,9th century,Bithynia,"",0,0,1,1,"",0,,1000
1092,3,29,100941,"Venerable Mark,  Jonah, and Bassa of the Pskov Caves",MARK,"Venerable Mark,  Jonah, and Bassa of the Pskov Caves",m,1480,Pskov,"",0,0,0,1,"",0,,1000
4353,5,31,100325,St. Apollonios (Apollo) of the Egyptian Thebaid,APOLLONIOS,Saint Apollonios (Apollo) of the Egyptian Thebaid,m,395,Egypt,"",0,0,1,1,"",0,,999
1094,3,30,100943,"Ven. John Climacus of Sinai, author of <em>The Ladder</em>",JOHN,"Venerable John Climacus of Sinai, Author of &ldquo;the Ladder&rdquo;",m,ca. 649,Sinai,6th c.,0,0,1,1,march/0330johnofladder.jpg,0,,1000
1095,3,30,100944,"St. Sophr&oacute;ny (Sophronius), Bishop of Irkutsk",SOPHRONIUS,"Saint Sophronius, Bishop of Irkutsk","",1771,Irkutsk,"",0,0,1,1,march/0330sophronius.jpg,0,,1000
1096,3,30,100945,Prophet Joad,JOAD,Prophet Joad,"",1 Kings 13:11-10th B.C.,"","1 Kings 13:11&mdash;10th c. B.C.",0,0,1,1,"",0,,1000
1097,3,30,100946,"Apostles Sosthenes, Apollos, Cephas, C&aelig;sar, and Epaphroditus, of the Seventy",SOSTHENES,Apostle Sosthenes of the Seventy,m,1st century,"","",0,0,1,1,"",0,,1000
1098,3,30,100947,Apostle Apollos,APOLLOS,Apostle Apollos of the Seventy,m,1st century,"","",0,0,0,1,"",0,,1000
1099,3,30,100948,Apostle Cephas,CEPHAS,Apostle Cephas of the Seventy,m,1st century,"","",0,0,0,1,"",0,,1000
1100,3,30,100949,Apostle Caesar,CAESAR,Apostle Caesar of the Seventy,m,1st century,"","",0,0,0,1,"",0,,1000
1101,3,30,100950,Apostle Epaphroditus,EPAPHRODITUS,Apostle Epaphroditus of the Seventy,m,1st century,"","",0,0,0,1,"",0,,1000
1102,3,30,100951,"St. Eubula, mother of St. Panteleimon",EUBOULA,"Saint Euboula, mother of Saint Panteleimon",f,ca. 303,"","",0,0,1,1,march/0330eubula.jpg,0,,1000
1103,3,30,100952,Ven. John the Silent of St. Savva Monastery,JOHN,Venerable John the Silent of Saint Savva Monastery,m,6th century,St. Savva Monastery,"",0,0,1,1,"",0,,1000
1104,3,30,100953,"St. Zosimas, Bishop of Syracuse",ZOSIMAS,"Saint Zosimus, Bishop of Syracuse",m,ca. 662,Syracuse,"",0,0,1,1,"",0,,1000
1105,3,30,109950,Meeting of the Mother of God and St. Elizabeth,MEETING OF THE MOTHER OF GOD,The Meeting of the Mother of God and Saint Elizabeth,"",1st century,"","",0,0,0,1,march/0330maryandelizabeth.jpg,0,,1000
1106,3,31,100954,"Repose of St. Innocent, Metropolitan of Moscow, Enlightener of the Aleuts and Apostle to the Americas",INNOCENT,"Repose of Saint Innocent, Metropolitan of Moscow, Enlightener of the Aleuts, Apostle to the Americas","",1879,"America, Moscow, Alaska","",1,0,1,1,march/0331innocent-moscow04.jpg,0,,1000
1107,3,31,100956,"St. Hypatius the Wonderworker, Bishop of Gangra",HYPATIUS,"Saint Hypatius the Wonderworker, Bishop of Gangra",m,ca. 326,Gangra,ca. 336,0,0,1,1,march/0331hypatius-gangra03.jpg,0,,1000
1108,3,31,100955,"Repose of St. Jonah, Metropolitan of Moscow and All Russia",JONAH,"Repose of Saint Jonah, Metropolitan of Moscow and All Russia","",1461,"Moscow, Russia","",0,0,1,1,march/0331jonahmoscow.jpg,0,,1000
1109,3,31,100957,"Ven. Hypatius the Healer, of the Kiev Caves",HYPATIUS,Venerable Hypatius the Healer of the Kiev Caves,m,14th century,"Kiev Caves, Far Caves","Far Caves&mdash;14th c.",0,0,1,1,march/0331hypatiushealer2.jpg,0,,1000
1110,3,31,100958,"Ven. Apollonius, Ascetic, of Egypt",APOLLONIUS,"Venerable Apollonius, Ascetic, of Egypt",m,4th century,Egypt,"",0,0,1,1,march/0331appolonius.jpg,0,,1000
1111,3,31,100959,"Hieromartyr Avdas, Bishop of Persia, and Martyr Benjamin the Deacon",AVDAS,"Hieromartyr Avdas, Bishop of Persia, and Martyr Benjamin the Deacon",m,418-424,Persia,"",0,0,1,1,"",0,,1000
1113,3,31,100961,"Ven. Hypatius, Abbot of Rufinus in Chalcedon",HYPATIUS,"Venerable Hypatius, Abbot of Rufinus in Chalcedon",m,ca. 446,Chalcedon,"",0,0,1,1,"",0,,1000
1114,3,31,100962,"Appearance of the &ldquo;Ivḗron&rdquo; (Iberian) Icon of the Mother of God",ICON,Appearance of the Ivḗron Icon of the Mother of God,"","","","",0,0,1,1,march/0331icon-portailtissa-mpoy0020.jpg,0,,1000
1115,3,31,148986,St. Acacius the Confessor,ACACIUS,Saint Acacius the Confessor,"",3rd century,"Melitene, Armenia","",0,0,0,1,"",0,,1000
1116,3,31,205337,Righteous Joseph,JOSEPH,Righteous Joseph the Patriarch,"","",Egypt,"",0,0,0,1,march/0331joseph-patriarch0010.jpg,0,,1000
1117,4,1,100963,Ven. Mary of Egypt,MARY,Venerable Mary of Egypt,f,522,Egypt,"",0,0,1,1,april/0401mary-egypt04.jpg,0,,1000
1118,4,1,100964,"Ven. Euthymius of Suzdal&rsquo;",EUTHYMIUS,Venerable Euthymius of Suzdal,m,1404,Suzdal,"",0,0,1,1,april/0401euthymiusdormition.jpg,0,,1000
1119,4,1,100965,Martyr Abraham of Bulgaria,ABRAHAM,Martyr Abraham of Bulgaria,m,1229,Bulgaria,"",0,0,1,1,april/0401aabrahambulgaria.jpg,0,,1000
1120,4,1,100966,"Ven. Gerontius, Canonarch, of the Kiev Caves",GERONTIUS,Venerable Gerontius the Canonarch of the Kiev Far Caves,m,14th century,"Kiev Caves, Far Caves","Far Caves&mdash;14th c.",0,0,1,1,april/0401gerontiuscanonarch.jpg,0,,1000
1121,4,1,100967,"Venerable Makarios, Igoumen of Pelēketḗ",MACARIUS,"Venerable Makarios, Igoumen of Pelēketḗ",m,ca. 830,Pelecete,"",0,0,1,1,"",0,,1000
1122,4,1,100968,Martyrs Gerontius and Basilides,GERONTIUS,Martyrs Gerontius and Basilides,"",3rd century,"","",0,0,1,1,april/0401gerontius.jpg,0,,1000
1124,4,1,100970,Righteous Achaza,ACHAZ,Righteous Achaz (Ahaz),"","","","",0,0,1,1,"",0,,1000
1125,4,1,103832,"Saint John Shavteli, Bishop of Gaenati and Saint Eulogius, Prophet and Fool-for-Christ of Salosi",JOHN,"Saint John Shavteli, Bishop of Gaenati and Saint Eulogius, Prophet and Fool-for-Christ of Salosi","",13th century,"Georgia, Salosi","",0,0,0,1,april/0401john-shavteli.jpg,0,,1000
1127,4,1,148993,Venerable Barsanuphius,BARSANUPHIUS,Venerable Barsanuphius of Optina,m,1913,Optina,"",0,0,0,1,april/0401barsanuphius-optina.jpg,0,,1000
1128,4,2,100971,Ven. Titus the Wonderworker,TITUS,Venerable Titus the Wonderworker,m,9th century,"","",0,0,1,1,april/0402tituswonderworker.jpg,0,,1000
1129,4,2,100972,Martyrs Amphianus (Apphianus) and Edesius (Aedesius) of Lycia,AMPHIANUS,Martyrs Amphianus and Edesius of Lycia,"",306,Lycia,"",0,0,1,1,april/0402amphianus.jpg,0,,1000
1131,4,2,100974,Martyr Polycarp of Alexandria,POLYCARP,Martyr Polycarp of Alexandria,"",4th century,"Alexandria, Egypt","",0,0,1,1,april/0402polycarpalexandria.jpg,0,,1000
1132,4,2,103834,St George,GEORGE,Saint George Matskevereli of Georgia,m,10th century,Georgia,"",0,0,0,1,april/0402george-matskvereli.jpg,0,,1000
1133,4,3,100975,"Ven. Niketas the Confessor, Abbot of Medikion",NIKETAS,"Venerable Niketas the Confessor, Abbot of Medikion",m,824,Medikion,,0,0,1,1,april/0403nicetasmedikion.jpg,0,,1000
1134,4,3,100976,"Virgin Martyr Theodosίa of Tyre, and Martyr Irene",THEODOSIA,Holy Virgin Martyr Theodosίa of Tyre,f,307-308,Tyre,,0,0,1,1,april/0403theodosia-tyre.jpg,0,,1000
1135,4,3,100977,Martyr Irene,IRENE,Martyr Irene,"",307-308,"Caesarea, Palestine","",0,0,0,1,"",0,,1000
1136,4,3,100978,St. Illyricus of Mt. Myrsinon in the Peloponnesus,ILLYRICUS,Saint Illyricus of Mount Myrsinon in the Peloponnesus,m,"","Peloponnesus, Mt Myrsinon","",0,0,1,1,april/0403illirycus.jpg,0,,1000
